kind,wall_time,elapsed_s,arrival_gap_ms,source_gap_ms,px4_timestamp_us,agent_pid,agent_restarts,agent_active,load1,wlan_rx_packets,wlan_rx_dropped,wlan_tx_packets,wlan_tx_dropped,softnet_dropped_total,status,failsafe
sensor_combined,2026-08-07T14:58:25.084+08:00,7.637,31.236044000024776,9.001,1044206833,1667,0,active,1.4,,,,,0,,
failsafe_flags,2026-08-07T14:58:25.114+08:00,7.667,,,1044280214,1667,0,active,1.4,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
sensor_combined,2026-08-07T14:58:25.146+08:00,7.698,61.750238000058744,9.002,1044215835,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.176+08:00,7.729,31.151585999850795,81.014,1044296849,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.206+08:00,7.760,30.577880999999252,9.002,1044305851,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.237+08:00,7.790,30.33445699998083,9.002,1044314853,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.268+08:00,7.821,31.120893999968757,40.507,1044355360,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.299+08:00,7.852,30.141762000084782,13.55,1044368910,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.331+08:00,7.883,31.34232999991582,8.954,1044377864,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.362+08:00,7.915,32.21623400008866,58.558,1044436422,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.393+08:00,7.946,30.749581999998554,8.954,1044445376,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.423+08:00,7.977,30.95300099994347,22.504,1044467880,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.455+08:00,8.007,30.540756000164038,49.509,1044517389,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.485+08:00,8.039,31.29742900000565,18.003,1044535392,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.517+08:00,8.070,31.125085999974544,31.506,1044566898,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.546+08:00,8.100,30.267056999946362,40.507,1044607405,1667,0,active,1.4,,,,,0,,
sensor_combined,2026-08-07T14:58:25.577+08:00,8.130,29.904258999977174,9.049,1044616454,1667,0,active,1.4,,,,,0,,
