sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
862,2295537574088,86616.370,108.653,1787194144583840,reliable,1,1,15,15,0
863,2295627927741,86706.723,90.354,1787194144674163,reliable,1,1,15,15,0
864,2295732893741,86811.689,104.966,1787194144779133,reliable,1,1,15,15,0
865,2295828371084,86907.167,95.477,1787194144874610,reliable,1,1,15,15,0
866,2295934700953,87013.497,106.330,1787194144980939,reliable,1,1,15,15,0
867,2296030178006,87108.974,95.477,1787194145076427,reliable,1,1,15,15,0
868,2296138161195,87216.957,107.983,1787194145184401,reliable,1,1,15,15,0
869,2296230104294,87308.900,91.943,1787194145276346,reliable,1,1,15,15,0
870,2296334667552,87413.463,104.563,1787194145380904,reliable,1,1,15,15,0
871,2296429790028,87508.586,95.122,1787194145476035,reliable,1,1,15,15,0
872,2296541550125,87620.346,111.760,1787194145587786,reliable,1,1,15,15,0
873,2296626535819,87705.332,84.986,1787194145673197,reliable,1,1,15,15,0
874,2296738555832,87817.352,112.020,1787194145784801,reliable,1,1,15,15,0
875,2296826523934,87905.320,87.968,1787194145872776,reliable,1,1,15,15,0
876,2296934660987,88013.457,108.137,1787194145980955,reliable,1,1,15,15,0
877,2297025714571,88104.510,91.054,1787194146071958,reliable,1,1,15,15,0
878,2297131996752,88210.793,106.282,1787194146178283,reliable,1,1,15,15,0
879,2297228719394,88307.515,96.723,1787194146274959,reliable,1,1,15,15,0
880,2297335056489,88413.852,106.337,1787194146381322,reliable,1,1,15,15,0
881,2297427745891,88506.542,92.689,1787194146473991,reliable,1,1,15,15,0
882,2297533502512,88612.298,105.757,1787194146579746,reliable,1,1,15,15,0
883,2297627950234,88706.746,94.448,1787194146674193,reliable,1,1,15,15,0
884,2297733755305,88812.551,105.805,1787194146779995,reliable,1,1,15,15,0
885,2297828653576,88907.449,94.898,1787194146874919,reliable,1,1,15,15,0
886,2297934115975,89012.912,105.462,1787194146980358,reliable,1,1,15,15,0
887,2298029431543,89108.227,95.316,1787194147075672,reliable,1,1,15,15,0
888,2298134890355,89213.686,105.459,1787194147181140,reliable,1,1,15,15,0
889,2298229168274,89307.964,94.278,1787194147275409,reliable,1,1,15,15,0
890,2298334076181,89412.872,104.908,1787194147380320,reliable,1,1,15,15,0
891,2298428743015,89507.539,94.667,1787194147474980,reliable,1,1,15,15,0
892,2298533802960,89612.599,105.060,1787194147580046,reliable,1,1,15,15,0
893,2298628705260,89707.501,94.902,1787194147674952,reliable,1,1,15,15,0
894,2298736948647,89815.744,108.243,1787194147783188,reliable,1,1,15,15,0
895,2298828232767,89907.029,91.284,1787194147874474,reliable,1,1,15,15,0
896,2298932898647,90011.694,104.666,1787194147979136,reliable,1,1,15,15,0
897,2299027792752,90106.589,94.894,1787194148074032,reliable,1,1,15,15,0
898,2299133251209,90212.047,105.458,1787194148179498,reliable,1,1,15,15,0
899,2299227729071,90306.525,94.478,1787194148273972,reliable,1,1,15,15,0
900,2299332766388,90411.562,105.037,1787194148379011,reliable,1,1,15,15,0
901,2299430394857,90509.191,97.628,1787194148476636,reliable,1,1,15,15,0
902,2299535012892,90613.809,104.618,1787194148581258,reliable,1,1,15,15,0
903,2299626975471,90705.771,91.963,1787194148673215,reliable,1,1,15,15,0
904,2299733059365,90811.855,106.084,1787194148779302,reliable,1,1,15,15,0
905,2299829216215,90908.012,96.157,1787194148875456,reliable,1,1,15,15,0
906,2299935343982,91014.140,106.128,1787194148981591,reliable,1,1,15,15,0
907,2300029524420,91108.320,94.180,1787194149075764,reliable,1,1,15,15,0
908,2300128537717,91207.333,99.013,1787194149174778,reliable,1,1,15,15,0
909,2300228829856,91307.626,100.292,1787194149275099,reliable,1,1,15,15,0
910,2300337239068,91416.035,108.409,1787194149383476,reliable,1,1,15,15,0
