sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
385,1884899196272,38643.636,96.089,1786679010720608,reliable,1,1,4,4,0
386,1885004365464,38748.805,105.169,1786679010825775,reliable,1,1,4,4,0
387,1885099418595,38843.858,95.053,1786679010920827,reliable,1,1,4,4,0
388,1885202768283,38947.208,103.350,1786679011024169,reliable,1,1,4,4,0
389,1885299684804,39044.124,96.917,1786679011121096,reliable,1,1,4,4,0
390,1885404214248,39148.654,104.529,1786679011225626,reliable,1,1,4,4,0
391,1885519363224,39263.803,115.149,1786679011340768,reliable,1,1,4,4,0
392,1885602155419,39346.595,82.792,1786679011423580,reliable,1,1,4,4,0
393,1885719190058,39463.630,117.035,1786679011540592,reliable,1,1,4,4,0
394,1885801853643,39546.293,82.664,1786679011623262,reliable,1,1,4,4,0
395,1885899468030,39643.908,97.614,1786679011720874,reliable,1,1,4,4,0
396,1886002625644,39747.065,103.158,1786679011824026,reliable,1,1,4,4,0
397,1886099334001,39843.774,96.708,1786679011920741,reliable,1,1,4,4,0
398,1886202759247,39947.199,103.425,1786679012024166,reliable,1,1,4,4,0
399,1886319569512,40064.009,116.810,1786679012140979,reliable,1,1,4,4,0
400,1886402653830,40147.093,83.084,1786679012224058,reliable,1,1,4,4,0
401,1886518653616,40263.093,116.000,1786679012340065,reliable,1,1,4,4,0
402,1886602217878,40346.657,83.564,1786679012423628,reliable,1,1,4,4,0
403,1886699814666,40444.254,97.597,1786679012521224,reliable,1,1,4,4,0
404,1886803483684,40547.923,103.669,1786679012624885,reliable,1,1,4,4,0
405,1886918468894,40662.908,114.985,1786679012739879,reliable,1,1,4,4,0
406,1887001005234,40745.445,82.536,1786679012822412,reliable,1,1,4,4,0
407,1887099406707,40843.846,98.401,1786679012920878,reliable,1,1,4,4,0
408,1887202746292,40947.186,103.340,1786679013024153,reliable,1,1,4,4,0
409,1887319551544,41063.991,116.805,1786679013140964,reliable,1,1,4,4,0
410,1887402390087,41146.830,82.839,1786679013223794,reliable,1,1,4,4,0
411,1887499405551,41243.845,97.015,1786679013320816,reliable,1,1,4,4,0
412,1887603802329,41348.242,104.397,1786679013425205,reliable,1,1,4,4,0
413,1887699297927,41443.737,95.496,1786679013520743,reliable,1,1,4,4,0
414,1887802743136,41547.183,103.445,1786679013624152,reliable,1,1,4,4,0
415,1887899561349,41644.001,96.818,1786679013720967,reliable,1,1,4,4,0
416,1888003029854,41747.469,103.469,1786679013824437,reliable,1,1,4,4,0
417,1888118795696,41863.235,115.766,1786679013940208,reliable,1,1,4,4,0
418,1888202033456,41946.473,83.238,1786679014023442,reliable,1,1,4,4,0
419,1888300406350,42044.846,98.373,1786679014121817,reliable,1,1,4,4,0
420,1888404103086,42148.543,103.697,1786679014225513,reliable,1,1,4,4,0
421,1888499455542,42243.895,95.352,1786679014320867,reliable,1,1,4,4,0
422,1888602924529,42347.364,103.469,1786679014424327,reliable,1,1,4,4,0
423,1888699146025,42443.586,96.221,1786679014520556,reliable,1,1,4,4,0
424,1888802897705,42547.337,103.752,1786679014624309,reliable,1,1,4,4,0
425,1888900188340,42644.628,97.291,1786679014721602,reliable,1,1,4,4,0
426,1889004166969,42748.606,103.979,1786679014825584,reliable,1,1,4,4,0
427,1889099598466,42844.038,95.431,1786679014921006,reliable,1,1,4,4,0
428,1889203491729,42947.931,103.893,1786679015024904,reliable,1,1,4,4,0
429,1889299541217,43043.981,96.049,1786679015120955,reliable,1,1,4,4,0
430,1889403785132,43148.225,104.244,1786679015225202,reliable,1,1,4,4,0
431,1889518896228,43263.336,115.111,1786679015340306,reliable,1,1,4,4,0
432,1889602023553,43346.463,83.127,1786679015423428,reliable,1,1,4,4,0
433,1889699132549,43443.572,97.109,1786679015520548,reliable,1,1,4,4,0
434,1889803762999,43548.203,104.630,1786679015625180,reliable,1,1,4,4,0
