sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
183,4496028706591,18493.133,117.354,1786609862859895,reliable,1,1,4,4,0
184,4496112110227,18576.536,83.404,1786609862943299,reliable,1,1,4,4,0
185,4496227000543,18691.426,114.890,1786609863058188,reliable,1,1,4,4,0
186,4496330537229,18794.963,103.537,1786609863161723,reliable,1,1,4,4,0
187,4496428836006,18893.262,98.299,1786609863260025,reliable,1,1,4,4,0
188,4496511907674,18976.334,83.072,1786609863343098,reliable,1,1,4,4,0
189,4496627622393,19092.048,115.715,1786609863458808,reliable,1,1,4,4,0
190,4496731307069,19195.733,103.685,1786609863562528,reliable,1,1,4,4,0
191,4496828488651,19292.915,97.182,1786609863659702,reliable,1,1,4,4,0
192,4496913306172,19377.732,84.818,1786609863744531,reliable,1,1,4,4,0
193,4497015444973,19479.871,102.139,1786609863846628,reliable,1,1,4,4,0
194,4497118875703,19583.302,103.431,1786609863950064,reliable,1,1,4,4,0
195,4497227036849,19691.463,108.161,1786609864058224,reliable,1,1,4,4,0
196,4497331404229,19795.830,104.367,1786609864162592,reliable,1,1,4,4,0
197,4497425988444,19890.414,94.584,1786609864257176,reliable,1,1,4,4,0
198,4497530280197,19994.706,104.292,1786609864361470,reliable,1,1,4,4,0
199,4497627371307,20091.797,97.091,1786609864458562,reliable,1,1,4,4,0
200,4497731546324,20195.972,104.175,1786609864562727,reliable,1,1,4,4,0
201,4497826908629,20291.335,95.362,1786609864658098,reliable,1,1,4,4,0
202,4497931085789,20395.512,104.177,1786609864762273,reliable,1,1,4,4,0
203,4498026598805,20491.025,95.513,1786609864857795,reliable,1,1,4,4,0
204,4498131648462,20596.074,105.050,1786609864962838,reliable,1,1,4,4,0
205,4498227965877,20692.392,96.317,1786609865059264,reliable,1,1,4,4,0
206,4498311294824,20775.721,83.329,1786609865142485,reliable,1,1,4,4,0
207,4498426480763,20890.907,115.186,1786609865257668,reliable,1,1,4,4,0
208,4498530237153,20994.663,103.756,1786609865361426,reliable,1,1,4,4,0
209,4498627836217,21092.262,97.599,1786609865459017,reliable,1,1,4,4,0
210,4498731562791,21195.989,103.727,1786609865562748,reliable,1,1,4,4,0
211,4498829474346,21293.900,97.912,1786609865660668,reliable,1,1,4,4,0
212,4498913101355,21377.527,83.627,1786609865744317,reliable,1,1,4,4,0
213,4499026957769,21491.384,113.856,1786609865858147,reliable,1,1,4,4,0
214,4499131303086,21595.729,104.345,1786609865962494,reliable,1,1,4,4,0
215,4499227246964,21691.673,95.944,1786609866058438,reliable,1,1,4,4,0
